,X.1,Title,Studio,calWeeklyGross,totTheatreCount,totGross,totBudget,WeeksOn,startYear,startWeek,X,Search,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,IMDBRating,RTRating,Metacritic,IMDBVotes,imdbID,Type,DVD,Production,Website
1640,1640,No Escape,Wein.,30625300,15709,29934300,         NA,9,2015,34,1397,No Escape,NA,R,26/08/2015,103 min,"Action, Thriller",John Erick Dowdle,"John Erick Dowdle, Drew Dowdle","Owen Wilson, Lake Bell, Sterling Jerins, Claire Geare","In their new overseas house, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape from an environment where foreigners are being immediately executed.","English, French, Thai, Khmer",USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMjE0MDI3NTE5NF5BMl5BanBnXkFtZTgwNzI3ODM2NjE@._V1_SX300.jpg,68,45,38,66299,tt1781922,movie,24/11/2015,The Weinstein Company,http://www.facebook.com/NoEscapeMovie
1641,1641,No Good Deed (2014),SGem,59911400,9269,58633700,1320000,7,2014,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1642,1642,No Greater Love,ADC,30200,23,30200,         NA,3,2017,45,1398,No Greater Love,NA,PG,14/05/2010,109 min,"Drama, Romance",Brad J. Silverman,"Brad J. Silverman (screenplay), James Killian (screenplay), Elizabeth Killian (screenplay), Brandon Rice (story)","Anthony Tyler Quinn, Danielle Bisutti, Jay Underwood, Seth Axen","Jeff and Heather Baker were life long sweethearts and happily married... for a time. But at her greatest moment of weakness, Heather abandons Jeff, forcing Jeff to raise their young son ...",English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3MjI4ODA0Ml5BMl5BanBnXkFtZTcwODAwNTcxMw@@._V1_SX300.jpg,61,NA,NA,429,tt1225703,movie,7/02/2006,N/A,N/A
1643,1643,No Home Movie,Icar.,NA,12,31100,         NA,9,2016,7,1399,No Home Movie,NA,NOT RATED,24/02/2016,115 min,Documentary,Chantal Akerman,Chantal Akerman,"Chantal Akerman, Natalia Akerman, Sylvaine Akerman","Chantal Akerman films her mother, an old woman of Polish origin who is short lifetime, in her apartment in Brussels. For two hours, we will see them eating, chatting and sharing memories, ...","French, English, Spanish","Belgium, France",3 wins & 6 nominations.,https://ia.media-imdb.com/images/M/MV5BMjA4Mjk5ODI2NV5BMl5BanBnXkFtZTgwOTg5ODA1ODE@._V1_SX300.jpg,66,NA,78,486,tt4881016,movie,NA,N/A,N/A
1644,1644,No Manches Frida,PNT,12523300,2269,12158200,         NA,9,2016,36,1400,No Manches Frida,NA,PG-13,2/09/2016,114 min,Comedy,Nacho G. Velilla,"Laurence Rosenthal (screenplay), Claudio Herrera (screenplay), Sergio Sánchez (screenplay), Bora Dagtekin (based on the film by)","Omar Chaparro, Martha Higareda, Mónica Dionne, Rocio Garcia","NO MANCHES FRIDA is the story of Zequi, a recently released bank robber who goes to recover stolen money buried by his ditzy accomplice before going to jail. They return to the site only to...",Spanish,"USA, Mexico, Germany",N/A,https://m.media-amazon.com/images/M/MV5BMjEzNzE5MDAxMl5BMl5BanBnXkFtZTgwNjcxOTE2OTE@._V1_SX300.jpg,56,13,NA,1365,tt5259966,movie,27/12/2016,Constantin Film Produktion,N/A
1645,1645,No One's Life Is Easy: So I Married an Anti-Fan,CL,97400,29,97400,         NA,3,2016,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1646,1646,"No Pay, Nudity",Mont.,20500,31,20500,         NA,5,2016,46,1401,"No Pay, Nudity",NA,R,1/11/2016,92 min,"Comedy, Drama",Lee Wilkof,Ethan Sandler,"Frances Conroy, Donna Murphy, Zoe Perry, Gabriel Byrne","Aging actor Lester Rosenthal (Gabriel Byrne), who has lost his way with his career, with his family, and with his friends (Nathan Lane, Frances Conroy, & Boyd Gaines) finds out that the way out is through.",English,USA,1 win.,https://images-na.ssl-images-amazon.com/images/M/MV5BNTU5Mzc2MDAwNV5BMl5BanBnXkFtZTgwNDM3NjIwODE@._V1_SX300.jpg,61,71,NA,50,tt3177086,movie,13/12/2016,A Day in the Life Films,N/A
1647,1647,No Tears for the Dead,CJ,8800,6,72400,         NA,3,2014,26,1402,No Tears for the Dead,NA,NOT RATED,4/06/2014,116 min,"Action, Thriller",Jeong-beom Lee,Jeong-beom Lee,"Dong-Gun Jang, Min-hee Kim, Brian Tee, Hee-won Kim","A hit man traumatized from accidentally killing a young girl during a job is given the mission to eliminate her mother, and begins the ultimate fight to save her life.","Korean, English, Spanish",South Korea,N/A,https://m.media-amazon.com/images/M/MV5BMzYzNzgyMjczMF5BMl5BanBnXkFtZTgwMDk4MDEyMjE@._V1_SX300.jpg,68,29,NA,4493,tt3697566,movie,15/02/2015,CJ Entertainment,http://www.cj-entertainment.com/movies/140415-001/no-tears-for-the-dead/photo
1648,1648,Noble,Asp.,372700,254,372700,         NA,3,2015,19,1403,Noble,NA,PG-13,8/05/2015,100 min,"Biography, Drama",Stephen Bradley,Stephen Bradley,"Deirdre O'Kane, Sarah Greene, Brendan Coyle, Liam Cunningham",Christina Noble overcomes the harsh difficulties of her childhood in Ireland to discover her destiny on the streets of Saigon. A true story.,English,"UK, Vietnam",10 wins & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1NDY2NDE2M15BMl5BanBnXkFtZTgwMzc1NzUwNDE@._V1_SX300.jpg,67,81,63,1192,tt2626090,movie,1/03/2016,Aspiration Media,http://thenoblemovie.com/
1649,1649,Nocturama,Ghop,31000,20,30500,         NA,8,2017,32,1404,Nocturama,NA,N/A,8/09/2017,130 min,"Drama, Thriller",Bertrand Bonello,Bertrand Bonello,"Finnegan Oldfield, Vincent Rottiers, Hamza Meziani, Manal Issa","Some young folks, tired of the society they're living in, plan a bomb attack over Paris before to take shelter for a night in a shopping center.",French,"France, Germany, Belgium",5 wins & 19 nominations.,https://m.media-amazon.com/images/M/MV5BYWQ3ZjQ3YTYtODI2Ni00ZTZlLTlkMzktMDRkNTIzOWFjNjAxXkEyXkFqcGdeQXVyNDcyMjQ4MzU@._V1_SX300.jpg,66,88,71,2767,tt4795546,movie,NA,Grasshopper Film,http://grasshopperfilm.com/film/nocturama/
1650,1650,Nocturnal Animals,Focus,10878000,2598,11182000,         NA,9,2016,47,1405,Nocturnal Animals,NA,R,9/12/2016,116 min,"Crime, Drama, Romance",Tom Ford,"Tom Ford (screenplay by), Austin Wright (novel)","Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson","A wealthy art gallery owner receives a draft of her ex-husband's new novel, a violent thriller she interprets as a veiled threat and a symbolic revenge tale.",English,USA,Nominated for 1 Oscar. Another 16 wins & 133 nominations.,https://m.media-amazon.com/images/M/MV5BMTYwMzMwMzgxNl5BMl5BanBnXkFtZTgwMTA0MTUzMDI@._V1_SX300.jpg,75,72,67,183106,tt4550098,movie,21/02/2017,Focus Features,N/A
1651,1651,Noma - My Perfect Storm,Magn.,22600,20,22800,         NA,5,2015,51,NA,NA,NA,NOT RATED,18/12/2015,100 min,Documentary,Pierre Deschamps,Pierre Deschamps,Rene Redzepi,"After winning a Best Restaurant In The World award in 2010, 2011, 2012, and 2014, chef Rene Redzepi discusses his Copenhagen restaurant Noma and how his culinary philosophy has shaped its success.","English, Danish, Spanish, Albanian, Swedish, French",UK,N/A,https://ia.media-imdb.com/images/M/MV5BMTUzNDYwMzI4MF5BMl5BanBnXkFtZTgwMTA4NTYyNzE@._V1_SX300.jpg,62,56,47,525,tt4610372,movie,15/03/2016,N/A,N/A
1652,1652,Norm of the North,LGF,18434700,7630,18434700,         NA,9,2016,3,1407,Norm of the North,NA,PG,15/01/2016,90 min,"Animation, Adventure, Comedy",Trevor Wall,"Daniel Altiere, Steven Altiere, Malcolm T. Goldman","Rob Schneider, Heather Graham, Ken Jeong, Bill Nighy","When a real estate development invades his Arctic home, Norm and his three lemming friends head to New York City, where Norm becomes the mascot of the corporation in an attempt to bring it down from the inside and protect his homeland.",English,"USA, India, Ireland",N/A,https://m.media-amazon.com/images/M/MV5BNTY4MDk4Mjc4NV5BMl5BanBnXkFtZTgwNzg4OTk0NzE@._V1_SX300.jpg,36,9,21,7438,tt1594972,movie,19/04/2016,Lionsgate,https://www.facebook.com/NormOfTheNorthMovie
1653,1653,Norman Lear: Just Another Version of You,MBox,77300,20,77300,         NA,6,2016,28,1408,Norman Lear: Just Another Version of You,NA,UNRATED,1/05/2016,91 min,"Documentary, Biography, History","Heidi Ewing, Rachel Grady",N/A,"John Amos, Bea Arthur, Adrienne Barbeau, Valerie Bertinelli","A look at the life, work and political activism of one of the most successful television producers of all time, Norman Lear.",English,USA,5 wins & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2OTAwODQ0Nl5BMl5BanBnXkFtZTgwMTQ0MzYwOTE@._V1_SX300.jpg,72,86,66,271,tt5275866,movie,25/10/2016,Loki Films,http://normanlearfilm.com/
1654,1654,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,SPC,3950800,1593,3959400,         NA,9,2017,15,NA,NA,NA,R,14/04/2017,118 min,"Drama, Thriller",Joseph Cedar,Joseph Cedar,"Richard Gere, Lior Ashkenazi, Michael Sheen, Steve Buscemi","Norman Oppenheimer is a small time operator who befriends a young politician at a low point in his life. Three years later, when the politician becomes an influential world leader, Norman's life dramatically changes for better and worse.","English, Hebrew","Israel, USA",1 win & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDU2ODc3Njk4OV5BMl5BanBnXkFtZTgwNDM0MjA0MTI@._V1_SX300.jpg,62,89,75,3744,tt4191702,movie,11/07/2017,Sony Pictures Classics,http://www.normanthemovie.com/
1655,1655,"Norte, the End of History",CGld,5700,5,11700,         NA,7,2014,36,1409,"Norte, the End of History",NA,N/A,11/03/2014,250 min,"Crime, Drama",Lav Diaz,"Rody Vera, Lav Diaz, Rody Vera (story), Michiko Yamamoto (story), Raymond Lee (story)","Sid Lucero, Archie Alemania, Angeli Bayani, Mailes Kanapi",An embittered law student commits a brutal double murder; a family man takes the fall and is forced into a harsh prison sentence; a mother and her two children wander the countryside looking for some kind of redemption.,"Filipino, Tagalog, English",Philippines,9 wins & 16 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDE5OTMyNDUyMl5BMl5BanBnXkFtZTgwNzg1MTY3MTE@._V1_SX300.jpg,75,91,81,1364,tt2852432,movie,3/12/2014,Cinema Guild,http://www.cinemaguild.com/norte
1656,1656,Northern Lights (2013 re-release),APD/C,300,1,10600,         NA,23,2014,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1657,1657,Northern Limit Line,WGUSA,379700,37,379700,         NA,3,2015,29,1410,Northern Limit Line,NA,NOT RATED,17/07/2015,130 min,"Drama, War",Hak-sun Kim,"Soon-jo Choi (novel), Hak-sun Kim, Hak-sun Kim","Mu-Yeol Kim, Goo Jin, Hyun-woo Lee, Chung-Ah Lee",The movies follows the incident known as the second battle of Yeonpyeong which happened in 2002.,Korean,South Korea,4 nominations.,https://m.media-amazon.com/images/M/MV5BMTgwMjE1NzI2MV5BMl5BanBnXkFtZTgwMzk1OTczNjE@._V1_SX300.jpg,66,NA,NA,809,tt4696222,movie,20/10/2015,Well Go USA,http://wellgousa.com/NorthernLimitLine.com
1658,1658,Northern Soul,Free,9500,10,9500,         NA,1,2015,40,1411,Northern Soul,NA,R,17/10/2014,102 min,"Drama, Music",Elaine Constantine,Elaine Constantine,"Steve Coogan, Antonia Thomas, Ricky Tomlinson, James Lance","Set in 1974, an authentic and uplifting tale of two friends whose horizons are opened up by the discovery of black American soul music.",English,UK,Nominated for 1 BAFTA Film Award. Another 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTQ3ODAzNjQ3OF5BMl5BanBnXkFtZTgwNjgyMTI4NjE@._V1_SX300.jpg,64,77,64,3077,tt1837613,movie,5/01/2016,Freestyle Releasing,http://www.northernsoulthefilm.com/
1659,1659,Nostalgia,BST,116000,159,116000,         NA,3,2018,7,1412,Nostalgia,NA,NOT RATED,1/03/1992,125 min,Drama,Andrei Tarkovsky,"Andrei Tarkovsky (screenplay), Tonino Guerra (screenplay)","Oleg Yankovskiy, Erland Josephson, Domiziana Giordano, Patrizia Terreno",A Russian poet and his interpreter travel to Italy to research the life of an 18th-century composer.,"Italian, Russian","Italy, Soviet Union",3 wins & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BODFjMmUyN2ItMTIxOC00MDMwLWE1NDAtODhhYWUwYjk0Y2VjXkEyXkFqcGdeQXVyMjU0MjU2MjI@._V1_SX300.jpg,82,89,NA,15655,tt0086022,movie,6/10/1998,Kino Lorber,N/A
1660,1660,Nostalgia for the Light,Icar.,700,1,171000,         NA,60,2015,43,1413,Nostalgia for the Light,NA,NOT RATED,17/03/2011,90 min,Documentary,Patricio Guzmán,Patricio Guzmán,"Gaspar Galaz, Lautaro Núñez, Luís Henríquez, Miguel Lawner","A documentary about two different searches conducted in the Chilean Atacama Desert: one by astronomers looking for answers about the history of the cosmos, and one by women looking for the remains of loved ones killed by Pinochet's regime.","Spanish, English","Chile, Spain, France, Germany, USA",9 wins & 18 nominations.,https://ia.media-imdb.com/images/M/MV5BMTU1MjU1NTgxOF5BMl5BanBnXkFtZTcwOTgyNTg0NA@@._V1_SX300.jpg,76,100,91,3897,tt1556190,movie,13/09/2011,Icarus Films,http://icarusfilms.com/new2011/nost.html
1661,1661,Not Cool,SM,40600,2,40200,         NA,2,2014,38,1414,Not Cool,NA,NOT RATED,19/09/2014,93 min,"Comedy, Drama, Romance",Shane Dawson,Dan Schoffer,"Shane Dawson, Cherami Leigh, Drew Monson, Lisa Schwartz","A group of modern day Pittsburgh teenagers spend their Thanksgiving break experiencing a mixture of love, friendship, partying, and sex.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMGQ5MDg2OTEtOTM3ZS00MDZhLTk2NzUtZmZkNTUyOTZhZDljXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,46,14,1,4890,tt3569356,movie,17/02/2015,Starz Digital Media,http://notcoolthemovie.com/
1662,1662,Nothing Bad Can Happen,Drft.,5600,13,5600,         NA,3,2014,26,1415,Nothing Bad Can Happen,NA,NOT RATED,28/11/2013,110 min,"Crime, Drama, Thriller",Katrin Gebbe,Katrin Gebbe,"Julius Feldmeier, Sascha Alexander Gersak, Annika Kuhl, Gro Swantje Kohlhof","The young Tore seeks in Hamburg a new life among the religious group called The Jesus Freaks. When he by accident meets a family and helps them to repair their car, he believes that a ...",German,Germany,8 wins & 10 nominations.,https://m.media-amazon.com/images/M/MV5BMTQzOTAxNDcxNF5BMl5BanBnXkFtZTgwNzE0ODM5MTE@._V1_SX300.jpg,69,72,51,1140,tt2822400,movie,14/10/2014,Drafthouse Films,http://www.tore-tanzt.com/
1663,1663,Nothing to Lose (2018),Swen,1004300,125,1004300,         NA,5,2018,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1664,1664,November (2018),Osci.,19400,22,18900,         NA,6,2018,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1665,1665,Novitiate,SPC,585100,533,586400,         NA,9,2017,43,1416,Novitiate,NA,R,20/01/2017,123 min,Drama,Maggie Betts,Maggie Betts,"Melissa Leo, Lisa Stewart, Alyssa Brindley, Chelsea Lopez","Set in the early 1960s and during the era of Vatican II, a young woman in training to become a nun struggles with issues of faith, the changing church and sexuality.","English, American Sign Language, Latin",USA,3 wins & 14 nominations.,https://ia.media-imdb.com/images/M/MV5BMTU5NDQzNTY2MV5BMl5BanBnXkFtZTgwMjgxMTMyMzI@._V1_SX300.jpg,66,88,73,1921,tt4513316,movie,6/03/2018,Maven Pictures,http://sonyclassics.com/novitiate/
1666,1666,Now You See Me 2,LG/S,69356900,13138,70887200,         NA,9,2016,24,1417,Now You See Me 2,NA,PG-13,10/06/2016,129 min,"Action, Adventure, Comedy",Jon M. Chu,"Ed Solomon (screenplay by), Ed Solomon (story by), Peter Chiarelli (story by), Boaz Yakin (based on characters created by), Edward Ricourt (based on characters created by)","Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco","The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.","English, Mandarin, Cantonese","France, USA",4 nominations.,https://m.media-amazon.com/images/M/MV5BNzQ0NDgwODQ3NV5BMl5BanBnXkFtZTgwOTYxNjc2ODE@._V1_SX300.jpg,65,34,46,194677,tt3110958,movie,6/09/2016,Lionsgate,http://www.nowyouseeme.movie/
1667,1667,Nowitzki,Magn.,46400,10,46500,         NA,4,2015,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1668,1668,Number One Fan,Distrib.,1800,1,1800,         NA,1,2015,36,1419,Number One Fan,NA,N/A,24/09/2014,104 min,"Comedy, Drama, Thriller",Jeanne Herry,"Jeanne Herry (screenplay), Gaëlle Macé (collaboration)","Sandrine Kiberlain, Laurent Lafitte, Pascal Demolon, Olivia Côte","Muriel Bayen, a divorced beautician and mother of two, loves to tell stories. She is a huge fan of this singer Vincent Lacroix, in fact she is a dedicated fan. One day Vincent knocks on her door and asks for her help.",French,France,1 win & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMTg4NTU4Mjc2M15BMl5BanBnXkFtZTgwNzU1OTAyNTE@._V1_SX300.jpg,64,83,NA,1345,tt3433358,movie,NA,StudioCanal,N/A
1669,1669,Nuts!,Cartuna,47900,54,47800,         NA,9,2016,25,1420,Nuts!,NA,UNRATED,22/01/2016,79 min,"Documentary, Animation",Penny Lane,Thom Stylinski,"Gene Tognacci, Andy Boswell, John Causby, Kelly Mizell","The mostly true story of Dr. John Romulus Brinkley, an eccentric genius who built an empire with his goat-testicle impotence cure and a million-watt radio station.",English,USA,3 wins & 5 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1Mjk5NDM0M15BMl5BanBnXkFtZTgwOTY5NzE4ODE@._V1_SX300.jpg,72,96,82,431,tt5236900,movie,NA,Cartuna,http://www.nutsthefilm.com
1670,1670,Oasis: Supersonic,A24,256100,122,256100,         NA,2,2016,43,1421,Oasis: Supersonic,NA,R,26/10/2016,122 min,"Documentary, Biography, Music",Mat Whitecross,N/A,"Paul Arthurs, Christine Biller, Mark Coyle, Debbie Turner","An in-depth look at the life and music of Manchester-based rock band, Oasis.",English,UK,2 wins & 2 nominations.,https://ia.media-imdb.com/images/M/MV5BOTMzMDcwZjQtNzJiMy00MDJmLTkxMzItMDIyZjk0NTVmYmIwXkEyXkFqcGdeQXVyMjY3MDI3ODE@._V1_SX300.jpg,79,82,71,7513,tt5213534,movie,22/09/2008,Mint Pictures,N/A
1671,1671,Obit.,KL,311400,155,327000,         NA,34,2017,16,1422,Obit.,NA,N/A,15/04/2016,93 min,Documentary,Vanessa Gould,N/A,"Bruce Weber, William McDonald, Margalit Fox, William Grimes",Writers and editors from the New York Times discuss their unique approach to writing the obituaries of public figures.,English,USA,2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BM2M4MWVkMDctMTNiZi00YWJhLTlkZDUtMTU0NDJkNWVmYjVkXkEyXkFqcGdeQXVyODM3MjA1NA@@._V1_SX300.jpg,73,92,72,416,tt4820284,movie,NA,Kino Lorber,https://www.kinolorber.com/film/obit
1672,1672,Obvious Child,A24,2746700,844,3573700,         NA,9,2014,26,1423,Obvious Child,NA,R,29/08/2014,84 min,"Comedy, Drama, Romance",Gillian Robespierre,"Gillian Robespierre (screenplay by), Karen Maine (story), Gillian Robespierre (story), Elisabeth Holm (story), Anna Bean (based on the short film written by), Karen Maine (based on the short film written by), Gillian Robespierre (based on the short film written by), Harold Manning (french adaptation)","Jenny Slate, Paul Briganti, Gaby Hoffmann, Stephen Singer",A twenty-something comedienne's unplanned pregnancy forces her to confront the realities of independent womanhood for the first time.,English,USA,10 wins & 29 nominations.,https://ia.media-imdb.com/images/M/MV5BMTg0MDU4NjI1OV5BMl5BanBnXkFtZTgwOTY3NDc3MTE@._V1_SX300.jpg,68,90,76,19796,tt2910274,movie,7/10/2014,A24 Films,http://www.facebook.com/ObviousChild
1673,1673,Ocean's 8,WB,136955100,21595,136955000,7000000,9,2018,23,NA,NA,NA,PG-13,8/06/2018,110 min,"Action, Comedy, Crime",Gary Ross,"Gary Ross (screenplay by), Olivia Milch (screenplay by), Gary Ross (story by), George Clayton Johnson (based upon characters created by), Jack Golden Russell (based upon characters created by)","Sandra Bullock, Griffin Dunne, Deidre Goodwin, Daniella Rabbani",Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala.,"English, German, French, Chinese",USA,N/A,https://m.media-amazon.com/images/M/MV5BMjAyNDEyMzc4Ml5BMl5BanBnXkFtZTgwMjEzNjM0NTM@._V1_SX300.jpg,63,67,61,57125,tt5164214,movie,11/09/2018,Warner Bros. Pictures,http://www.oceans8movie.com/
1674,1674,Ocean Waves,GK,81300,69,92000,         NA,9,2016,52,1424,Ocean Waves,NA,PG-13,5/05/1993,76 min,"Animation, Drama, Romance",Tomomi Mochizuki,"Saeko Himuro (novel), Keiko Niwa (screenplay)","Nobuo Tobita, Toshihiko Seki, Yoko Sakamoto, Yuri Amano","As a young man returns home after his first year away at college he recalls his senior year of high school and the iron-willed, big city girl that turned his world upside down.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BMTBkNTUyZjYtMjIzZC00NDIzLWIyOTEtYmRkYzgxYzFiYzk3XkEyXkFqcGdeQXVyNDYzNTI2ODc@._V1_SX300.jpg,69,87,73,6866,tt0108432,movie,18/04/2017,GKIDS,N/A
1675,1675,Ode to My Father,CJ,2623900,195,2610500,         NA,9,2014,51,1425,Ode to My Father,NA,N/A,17/12/2014,126 min,Drama,JK Youn,Soo-jin Park,"Jung-min Hwang, Yunjin Kim, Dal-su Oh, Jin-young Jung","Amid the time of Korean War, a young boy's vow to take care of his family marked the beginning of a lifelong promise spanning 60 years.","Korean, English, German",South Korea,17 wins & 20 nominations.,https://ia.media-imdb.com/images/M/MV5BNzU1ODg0NDUwN15BMl5BanBnXkFtZTgwNjY1MDQ1MzE@._V1_SX300.jpg,78,71,NA,2415,tt3812366,movie,NA,CJ Entertainment,http://www.cj-entertainment.com/movies/141117-001/ode-to-my-father
1676,1676,Of Horses and Men,MBox,13400,7,12800,         NA,7,2015,10,1426,Of Horses and Men,NA,NOT RATED,11/03/2015,81 min,"Comedy, Drama, Romance",Benedikt Erlingsson,Benedikt Erlingsson,"Ingvar Eggert Sigurðsson, Charlotte Bøving, Johann Pall Oddson, Kristbjörg Kjeld",A country romance about the human streak in the horse and the horse in the human. Love and death become interlaced and with immense consequences. The fortunes of the people in the country through the horses' perception.,"Icelandic, Swedish, English, Spanish, Russian","Iceland, Germany, Norway",22 wins & 15 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5OTM1OTA1NV5BMl5BanBnXkFtZTgwNjE3MTI1NDE@._V1_SX300.jpg,68,100,74,2480,tt3074732,movie,NA,Music Box Films,http://hrosss.is/the-film/
1677,1677,Of Mind and Music,Mont.,14100,14,13900,         NA,9,2016,7,1427,Of Mind and Music,NA,PG-13,22/09/2016,98 min,"Drama, Music",Richie Adams,"Richie Adams, Nicolas Bazan","Joaquim de Almeida, Aunjanue Ellis, Bill Cobbs, Ruth Negga","A story about a beautiful street musician suffering from memory loss and a disheartened neuroscientist intent on helping her, bringing together the city of New Orleans and the jazz that made it famous.",English,USA,9 wins & 2 nominations.,https://ia.media-imdb.com/images/M/MV5BMTYyNDQ5ODcyNl5BMl5BanBnXkFtZTgwMjY4MzM0NjE@._V1_SX300.jpg,70,71,NA,251,tt3057572,movie,NA,Monterey Media,http://ofmindandmusic.com/
1678,1678,Off the Rails,TFC,35100,7,35200,         NA,5,2016,47,1428,Off the Rails,NA,N/A,7/04/2016,86 min,Documentary,Adam Irving,"Tchavdar Georgiev, Adam Irving","Charles Bilal, Courtney Brown, Sally Butler, Jervis Cameron",How one man's love of transport led to a lifetime of incarceration.,English,"Canada, USA",10 wins & 3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNjQ3ZTdiNjctZTBkZS00ZmNhLWJlMDEtZGFlMGI1MmYzZWUyXkEyXkFqcGdeQXVyMTkxNjg3NTE@._V1_SX300.jpg,71,100,80,181,tt5131960,movie,NA,Gemini Pictures,N/A
1679,1679,Office Christmas Party,Par.,51721500,9943,57431500,4500000,7,2016,50,1429,Office Christmas Party,NA,R,9/12/2016,105 min,Comedy,"Josh Gordon, Will Speck","Jon Lucas (story by), Scott Moore (story by), Timothy Dowling (story by), Justin Malen (screenplay by), Laura Solon (screenplay by), Dan Mazer (screenplay by)","Jason Bateman, Olivia Munn, T.J. Miller, Jennifer Aniston","When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...","English, Russian",USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNTI2MDE5MjQ3MV5BMl5BanBnXkFtZTgwNjA0MTUzMDI@._V1_SX300.jpg,58,41,42,50150,tt1711525,movie,4/04/2017,Paramount Pictures,N/A
1680,1680,Officer Downe,Magn.,800,3,900,         NA,2,2016,47,1430,Officer Downe,NA,R,18/11/2016,88 min,"Action, Comedy, Sci-Fi",Shawn Crahan,"Joe Casey (graphic novel), Chris Burnham (graphic novel), Joe Casey (screenplay)","Kim Coates, Tyler Ross, Luna Lauren Velez, Sona Eyambe","Based on the graphic novel, a police officer who can't be stopped by death returns to the streets time and time again to fight crime.",English,USA,N/A,https://ia.media-imdb.com/images/M/MV5BMzAyNDA5NTQ2Nl5BMl5BanBnXkFtZTgwNDI4OTMyMDI@._V1_SX300.jpg,41,36,26,1422,tt4439102,movie,28/02/2017,Blackmrkt,http://www.magnetreleasing.com/officerdowne/
1681,1681,Oh Lucy!,FM,375900,235,371000,         NA,9,2018,9,1431,Oh Lucy!,NA,N/A,28/04/2018,95 min,"Comedy, Drama",Atsuko Hirayanagi,"Atsuko Hirayanagi (based on the short film by), Boris Frumin, Atsuko Hirayanagi","Shinobu Terajima, Josh Hartnett, Kaho Minami, Kôji Yakusho","A lonely woman living in Tokyo decides to take an English class where she discovers her alter ego, Lucy.","English, Japanese","Japan, USA",1 win & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMTUzMjcwMDExOV5BMl5BanBnXkFtZTgwMjU4Njk2NDM@._V1_SX300.jpg,68,100,69,1163,tt6343058,movie,NA,Film Movement,http://ohlucyfilm.com/
