,Search,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,IMDBRating,RTRating,Metacritic,IMDBVotes,imdbID,Type,DVD,Production,Website
500,Gleason,Gleason,NA,R,29/07/2016,110 min,Documentary,Clay Tweel,Clay Tweel,"Steve Gleason, Mike Gleason, Scott Fujita, Mike McKenzie","After he is diagnosed with ALS, former professional football player Steve Gleason begins making a video diary for his unborn son, as he, his wife, and their friends and family work to raise money for ALS patients as his disease progresses.",English,USA,10 wins & 19 nominations.,https://m.media-amazon.com/images/M/MV5BMTc0MDQ4MTk0NV5BMl5BanBnXkFtZTgwODU1NjAzOTE@._V1_SX300.jpg,84,96,80,1958,tt4632316,movie,1/11/2016,Dear Rivers Production,https://gleasonmovie.com/
501,God's Not Dead 2,God's Not Dead 2,NA,PG,1/04/2016,120 min,Drama,Harold Cronk,"Chuck Konzelman, Cary Solomon","Maria Canals-Barrera, Pat Boone, Robin Givens, Melissa Joan Hart","When a high school teacher is asked a question in class about Jesus, her response lands her in deep trouble.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjIxNTExMDk4NF5BMl5BanBnXkFtZTgwODM0MDczNzE@._V1_SX300.jpg,44,8,22,9374,tt4824308,movie,16/08/2016,Pure Flix Entertainment,http://godsnotdeadthemovie.com/
502,God's Not Dead: A Light in Darkness,God's Not Dead: A Light in Darkness,NA,PG,30/03/2018,105 min,Drama,Michael Mason,"Michael Mason, Howard Klausner","David A.R. White, John Corbett, Shane Harper, Ted McGinley","Pastor Dave responds to the unimaginable tragedy of having his church, located on the grounds of the local university, burned down.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZTI4Y2Q1MGQtYjE3Yy00N2VkLTg5YTgtOGI4Y2QxMTA3NTgxXkEyXkFqcGdeQXVyNTQ3MjE4NTU@._V1_SX300.jpg,37,13,33,1276,tt6652708,movie,21/08/2018,Pure Flix Entertainment,http://www.GodsNotDead.com
503,God's Own Country,God's Own Country,NA,NOT RATED,24/08/2017,104 min,"Drama, Romance",Francis Lee,Francis Lee,"Josh O'Connor, Gemma Jones, Harry Lister Smith, Ian Hart","Spring. Yorkshire. Young farmer Johnny Saxby numbs his daily frustrations with binge drinking and casual sex, until the arrival of a Romanian migrant worker for lambing season ignites an intense relationship that sets Johnny on a new path.","English, Romanian",UK,Nominated for 1 BAFTA Film Award. Another 23 wins & 28 nominations.,https://m.media-amazon.com/images/M/MV5BNjRhYzk2NDAtYzA1Mi00MmNmLWE1ZjQtMDBhZmUyMTdjZjBiXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,77,99,85,13118,tt5635086,movie,30/01/2018,Samuel Goldwyn Films,http://www.godsowncountryfilm.com/
504,God Knows Where I Am,God Knows Where I Am,NA,N/A,1/05/2016,97 min,"Documentary, Biography, Drama","Jedd Wider, Todd Wider",N/A,"Paul Appelbaum, Joan Bishop, Doug Bixby, Kevin Carbone","The body of a homeless woman is found in an abandoned New Hampshire farmhouse. Beside the body, lies a diary that documents a journey of starvation and the loss of sanity, but told with ...",English,USA,13 wins & 5 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyODIyMzk5M15BMl5BanBnXkFtZTgwMDYzNDcwODE@._V1_SX300.jpg,77,NA,66,50,tt5073020,movie,NA,N/A,N/A
505,God of War,God of War,NA,NOT RATED,2/06/2017,128 min,"Action, History",Gordon Chan,"Frankie Tam, Maria Wong, MengZhang Wu, Zhaozheng Xiong","Wenzhuo Zhao, Sammo Kam-Bo Hung, Regina Wan, Keisuke Koide","During the 16th century, Japanese pirates proliferate along the Chinese coastline. In 1557, the pirates take over Cengang in Zhejiang. After months of futile advances, Commander Yu (Sammo ...","Mandarin, Japanese","China, Hong Kong",3 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BZmQ5MjE4NDgtZjAxNC00MDVhLTlkNWQtZDNlYTU5NTA5NTM3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_SX300.jpg,64,78,54,1355,tt6083388,movie,17/10/2017,Well Go USA Entertainment,http://www.wellgousa.com/theatrical/god-of-war
506,Godard Mon Amour,Godard Mon Amour,NA,R,13/09/2017,107 min,"Biography, Comedy, Drama",Michel Hazanavicius,"Michel Hazanavicius (script by), Anne Wiazemsky (adapted from the novel ""Un an après"" by)","Louis Garrel, Stacy Martin, Bérénice Bejo, Micha Lescot","During the making of one of his films, French film director Jean-Luc Godard falls in love with 17-year old actress Anne Wiazemsky and later marries her.","French, English, Italian","France, Myanmar, Italy",9 nominations.,https://m.media-amazon.com/images/M/MV5BYTNkNGQ0MDctNGNjMS00Y2NhLTk4MTItYjMyMDczZWVjMTJkXkEyXkFqcGdeQXVyNjc0MzY3NTA@._V1_SX300.jpg,67,NA,55,2454,tt5687334,movie,NA,N/A,N/A
507,Gods of Egypt,Gods of Egypt,NA,PG-13,26/02/2016,127 min,"Action, Adventure, Fantasy",Alex Proyas,"Matt Sazama, Burk Sharpless","Brenton Thwaites, John Samaha, Courtney Eaton, Nikolaj Coster-Waldau","Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.",English,"USA, Australia",2 wins & 14 nominations.,https://m.media-amazon.com/images/M/MV5BNjExODg3MDUzNl5BMl5BanBnXkFtZTgwNjExMjE3NzE@._V1_SX300.jpg,54,15,25,87744,tt2404233,movie,31/05/2016,Lionsgate,http://www.godsofegypt.movie/home
508,Gold,Gold,NA,R,27/01/2017,120 min,"Adventure, Drama, Thriller",Stephen Gaghan,"Patrick Massett, John Zinman","Matthew McConaughey, Edgar Ramírez, Bryce Dallas Howard, Corey Stoll","Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia.","English, Indonesian",USA,Nominated for 1 Golden Globe. Another 1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BNjEwNzMzMDI4Nl5BMl5BanBnXkFtZTgwMTM2ODkwMTI@._V1_SX300.jpg,67,42,49,45394,tt1800302,movie,2/05/2017,TWC-Dimension,http://gold-film.com/
509,Goldbuster,Goldbuster,NA,N/A,5/01/2018,89 min,Comedy,Sandra Kwan Yue Ng,"Muchun Cha, Yee-Hing Wong, Yunhai Zhou","Sandra Kwan Yue Ng, Francis Ng, Yi Zhang, Alex Fong","A quirky internet star, a pair of retired gangsters, and the black sheep of a prolific family of herbalists are a few of the oddball tenants that call the dilapidated apartments of Humble ...","Cantonese, Mandarin","China, Hong Kong",N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMjUxYjI5MDItMzE0YS00MjFlLWFkMWEtMTliNWFhOTIzOGNmXkEyXkFqcGdeQXVyNzc3OTUzNzY@._V1_SX300.jpg,44,NA,NA,115,tt7743588,movie,NA,N/A,N/A
510,Golden Exits,Golden Exits,NA,R,9/02/2018,94 min,Drama,Alex Ross Perry,Alex Ross Perry,"Emily Browning, Adam Horovitz, Mary-Louise Parker, Lily Rabe",An intersectional narrative of two families in Brooklyn and the unraveling of unspoken unhappiness that occurs when a young foreign girl spending time abroad upsets the balance on both sides.,English,USA,3 nominations.,https://ia.media-imdb.com/images/M/MV5BMTUyMTUxMzk2OF5BMl5BanBnXkFtZTgwODI5MjU3NDM@._V1_SX300.jpg,59,67,71,970,tt5687814,movie,16/02/2018,Sony Pictures and Vertical Entertainment,N/A
511,Golden Kingdom,Golden Kingdom,NA,NOT RATED,13/10/2015,104 min,Drama,Brian Perkins,Brian Perkins (screenplay),"Shine Htet Zaw, Ko Yin Saw Ri, Ko Yin Than Maung, Ko Yin Maung Sein","Story of four young monks left alone in their remote monastery in Myanmar. Shot entirely in newly-opened Myanmar with non-actors, the film bridges spirit, cinema, and traditional Burmese storytelling to open a view onto an unseen world.","Burmese, Burmese","USA, Myanmar",2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzNjY2NDY2NF5BMl5BanBnXkFtZTgwMjI5NDEzNDE@._V1_SX300.jpg,67,100,NA,84,tt3440132,movie,14/02/2017,Alive Mind,N/A
512,Golden Slumber,Golden Slumber,NA,N/A,30/01/2010,139 min,"Action, Drama, Thriller",Yoshihiro Nakamura,Kôtarô Isaka (based on the novel by),"Yûko Takeuchi, Nao Ohmori, Teruyuki Kagawa, Masato Sakai",Aoyagi meets an old friend and ends up framed for the murder of the prime minister.,Japanese,Japan,1 nomination.,https://ia.media-imdb.com/images/M/MV5BODA0MzRlYTctYmViYi00OTA5LWFmZDktZjU5NDEwNzJiNDgzXkEyXkFqcGdeQXVyNDE2NjE1Njc@._V1_SX300.jpg,72,NA,NA,829,tt1413529,movie,NA,Toho Company,http://www.golden-slumber.jp/
513,Goldstone,Goldstone,NA,R,7/07/2016,110 min,"Crime, Thriller",Ivan Sen,Ivan Sen,"Aaron Pedersen, Alex Russell, Jacki Weaver, David Wenham",Indigenous Detective Jay Swan arrives in the frontier town of Goldstone on a missing persons inquiry. What seems like a simple light duty investigation opens a web of crime and corruption. ...,"English, Mandarin",Australia,10 wins & 16 nominations.,https://m.media-amazon.com/images/M/MV5BNTU2MDAwYWItZDc4Ny00N2ViLThlYWYtODBmMmQxNTE0MjVlXkEyXkFqcGdeQXVyMDkzMDE0Ng@@._V1_SX300.jpg,63,80,78,2449,tt4911996,movie,NA,Lightyear Entertainment,https://goldstonefilm.tumblr.com/
514,Gone Girl,Gone Girl,NA,R,3/10/2014,149 min,"Crime, Drama, Mystery",David Fincher,"Gillian Flynn (screenplay), Gillian Flynn (novel)","Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",English,USA,Nominated for 1 Oscar. Another 65 wins & 177 nominations.,https://m.media-amazon.com/images/M/MV5BYjgwY2E1N2QtNDJkMi00YzE4LThiYTItYWI5YmE4NWMzMGFhXkEyXkFqcGdeQXVyMjU3OTA4NzQ@._V1_SX300.jpg,81,87,79,708934,tt2267998,movie,13/01/2015,20th Century Fox,http://www.findamazingamy.com/
515,Gonjiam: Haunted Asylum,Gonjiam: Haunted Asylum,NA,NOT RATED,28/03/2018,95 min,Horror,Beom-sik Jeong,"Beom-sik Jeong, Sang-min Park","Seung-Wook Lee, Ye-Won Mun, Ji-Hyun Park, Sung-Hoon Park",The crew of a horror web series travels to an abandoned asylum for a live broadcast. It soon encounters much more than expected as it moves deeper inside the nightmarish old building.,Korean,South Korea,N/A,https://m.media-amazon.com/images/M/MV5BZTkzNWVlZWUtM2NjZS00NmFjLWI1YjgtMmM1ZWUyOWI5NmM1XkEyXkFqcGdeQXVyNjgwNTk4Mg@@._V1_SX300.jpg,62,NA,NA,861,tt8119752,movie,NA,N/A,N/A
516,Good Kill,Good Kill,NA,R,15/05/2015,102 min,"Drama, Thriller, War",Andrew Niccol,Andrew Niccol,"Fatima El Bahraouy, El Khttabi Abdelouahab, Ethan Hawke, Bruce Greenwood",A family man begins to question the ethics of his job as a drone pilot.,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTkzNDIxNzE5OF5BMl5BanBnXkFtZTgwODMxMTExNTE@._V1_SX300.jpg,64,75,63,20094,tt3297330,movie,1/09/2015,IFC Films,http://www.ifcfilms.com/films/good-kill
517,Good Manners,Good Manners,NA,N/A,21/03/2018,135 min,"Fantasy, Horror","Marco Dutra, Juliana Rojas","Juliana Rojas, Marco Dutra","Isabél Zuaa, Marjorie Estiano, Miguel Lobo, Cida Moreira","Clara, a lonely nurse from the outskirts of São Paulo, is hired by mysterious and wealthy Ana as the nanny for her unborn child. The two women develop a strong bond, but a fateful night changes their plans.",Portuguese,"Brazil, France",14 wins & 7 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTVhYWQwNzItMDYxNC00NjE5LWE2ZDctZjkzZTk5Y2NjMWE2XkEyXkFqcGdeQXVyNDY2NDMxNDY@._V1_SX300.jpg,69,NA,NA,190,tt5480782,movie,NA,N/A,N/A
518,Goodbye To All That,Goodbye to All That,NA,UNRATED,17/12/2014,87 min,"Comedy, Drama, Romance",Angus MacLachlan,Angus MacLachlan,"Paul Schneider, Melanie Lynskey, Audrey P. Scott, Michael Chernus","When his wife unexpectedly informs him that she wants a divorce, well-meaning but oblivious husband Otto Wall finds himself thrust back into bachelorhood, where he searches for the real thing amidst a string of one night stands.",English,USA,1 win & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BNzgxOTkwMzEyMV5BMl5BanBnXkFtZTgwMDY1Mzg1MzE@._V1_SX300.jpg,52,62,62,2017,tt2437548,movie,13/07/2015,IFC Films,http://www.ifcfilms.com
519,Goodbye to Language,Goodbye to Language,NA,NOT RATED,28/05/2014,70 min,"Drama, Fantasy",Jean-Luc Godard,Jean-Luc Godard,"Héloïse Godet, Kamel Abdelli, Richard Chevallier, Zoé Bruneau","A silent, surreal parallel between a couple and a dog.","French, English, German","Switzerland, France",3 wins & 17 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4ODEwODg3Nl5BMl5BanBnXkFtZTgwODkyODMxMzE@._V1_SX300.jpg,59,88,75,4466,tt2400275,movie,14/04/2015,Kino Lorber,N/A
520,Goodland,Goodland,NA,N/A,NA,84 min,"Crime, Mystery, Thriller",Josh Doke,Josh Doke,"Matt Weiss, Cinnamon Schultz, Sara Kennedy, Jason Curtis Miller","When the body of a drifter is discovered the same day a photographer arrives in a small farming community, the local sheriff is left to piece together a string of events that don't quite add up.",English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMGRiZWFiNGMtNDgyZS00YmVhLWFkNWEtM2NmNTMwMGQ5NzI0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjgzNzk2NjE@._V1_SX300.jpg,NA,NA,NA,NA,tt5022560,movie,NA,Parade Deck Films,http://www.goodlandmovie.com/
521,Goosebumps,Goosebumps,NA,PG,16/10/2015,103 min,"Adventure, Comedy, Family",Rob Letterman,"Darren Lemke (screenplay), Scott Alexander (story), Larry Karaszewski (story), R.L. Stine (""Goosebumps"" books)","Jack Black, Dylan Minnette, Odeya Rush, Ryan Lee","A teenager teams up with the daughter of young adult horror author R. L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware.",English,"USA, Australia",4 nominations.,https://m.media-amazon.com/images/M/MV5BMjA1OTUzNTQ5Ml5BMl5BanBnXkFtZTgwODQ4NDkxNjE@._V1_SX300.jpg,63,76,60,65435,tt1051904,movie,26/01/2016,Sony Pictures,http://www.goosebumpsfanrewards.com/
522,Gotti,Gotti,NA,R,17/08/1996,116 min,"Biography, Crime, Drama",Robert Harmon,"Jerry Capeci (book), Gene Mustain (book), Steve Shagan (teleplay)","Armand Assante, William Forsythe, Richard C. Sarafian, Frank Vincent",John Gotti rises to head the powerful Gambino crime family before being convicted in 1992 of racketeering and murder.,English,"USA, Canada",Nominated for 3 Golden Globes. Another 3 wins & 16 nominations.,https://m.media-amazon.com/images/M/MV5BMTU1ODM4MDUxN15BMl5BanBnXkFtZTcwODQyNjUxMQ@@._V1_SX300.jpg,73,60,NA,5415,tt0116441,movie,19/09/2000,HBO Video,N/A
523,Grace Jones: Bloodlight and Bami,Grace Jones: Bloodlight and Bami,NA,N/A,13/04/2018,115 min,Documentary,Sophie Fiennes,N/A,"Grace Jones, Jean-Paul Goude, Sly & Robbie","Larger than life, wild, scary and androgynous - Grace Jones plays all these parts. Yet here we also discover her as a lover, daughter, mother, sister and even grandmother, as she submits ...","English, French","Ireland, UK",N/A,https://ia.media-imdb.com/images/M/MV5BMDJlMTlmYjAtYTlhOS00MGRkLWI0YWUtNzYzOTJiODBmOTc2XkEyXkFqcGdeQXVyMjI3NDAyNg@@._V1_SX300.jpg,62,86,75,317,tt6903636,movie,NA,Kino Lorber,N/A
524,Graduation,Graduation,NA,R,20/05/2016,128 min,"Crime, Drama",Cristian Mungiu,Cristian Mungiu,"Adrian Titieni, Maria Dragus, Lia Bugnar, Mãlina Manovici",A film about compromises and the implications of the parent's role.,Romanian,"Romania, France, Belgium",10 wins & 24 nominations.,https://m.media-amazon.com/images/M/MV5BMjMxNTAwNzk5MF5BMl5BanBnXkFtZTgwNDY3NTM3MTI@._V1_SX300.jpg,74,NA,84,9203,tt4936450,movie,NA,N/A,N/A
525,Gray Matter,Gray Matter,NA,N/A,21/07/2004,52 min,Documentary,Joe Berlinger,"Joe Berlinger, Michael Bonfiglio",N/A,"In the spring of 2002, filmmaker Joe Berlinger traveled to Vienna to witness the burial of the preserved brains of over 700 children killed at a Nazi ""euthanasia"" clinic. GRAY MATTER ...","English, German","France, USA",1 win & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwOTI5MDUyMl5BMl5BanBnXkFtZTcwODg2ODkyMQ@@._V1_SX300.jpg,73,NA,NA,102,tt0427306,movie,28/06/2005,Docurama,http://www.cbc.ca/witness/graymatter/index.html
526,Great Museum,The Great Museum,NA,NOT RATED,5/09/2014,94 min,Documentary,Johannes Holzhausen,"Johannes Holzhausen (concept), Constantin Wulff (concept)","Arnout Balis, Christian Beaufort-Spontin, Sylvia Ferino-Pagden, Heinz Fischer","An in-depth look at daily life at one of the most famous cultural institutions in the world, The Kunsthistorisches Museum in Vienna.","German, English",Austria,2 wins & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxNzI2NjczNF5BMl5BanBnXkFtZTgwMzg4NDkzNDE@._V1_SX300.jpg,66,64,66,313,tt3488668,movie,22/09/2015,Kino Lorber Films,http://thegreatmuseum-thefilm.com/
527,Green Room,Green Room,NA,R,13/05/2016,95 min,"Crime, Horror, Thriller",Jeremy Saulnier,Jeremy Saulnier,"Anton Yelchin, Joe Cole, Alia Shawkat, Callum Turner",A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.,English,USA,9 wins & 24 nominations.,https://m.media-amazon.com/images/M/MV5BMjU1ODQ5NzA0N15BMl5BanBnXkFtZTgwMDg5MTA5NzE@._V1_SX300.jpg,70,90,79,78190,tt4062536,movie,12/07/2016,A24 Films,http://greenroom-movie.com/
528,Gridiron Heroes,The Hill Chris Climbed: The Gridiron Heroes Story,NA,N/A,NA,90 min,"Documentary, Biography, Family","Seth Camillo, Andrew Lauer",Andrew Lauer,"Chris Canales, Taylor Kitsch, Eddie Canales, Al Michaels","When a young high school football took a hit that paralyzed him on the field, his life turned to despair and loneliness until a chance moment brought him from the depths of hell to the joys of being a hero to all.",English,USA,N/A,http://ia.media-imdb.com/images/M/MV5BOTQxOTQ2NTIxMV5BMl5BanBnXkFtZTgwOTAzOTU3NTE@._V1_SX300.jpg,NA,NA,NA,NA,tt1650549,movie,NA,N/A,N/A
529,Gringo,Gringo,NA,R,9/03/2018,111 min,"Action, Comedy, Crime",Nash Edgerton,"Anthony Tambakis (screenplay by), Matthew Stone (screenplay by), Matthew Stone (story by)","Joel Edgerton, Charlize Theron, David Oyelowo, Thandie Newton","GRINGO, a dark comedy mixed with white-knuckle action and dramatic intrigue, explores the battle of survival for businessman Harold Soyinka (David Oyelowo) when he finds himself crossing the line from law-abiding citizen to wanted criminal.","English, Spanish, French","Australia, USA",N/A,https://m.media-amazon.com/images/M/MV5BMjAyMTk2MTQ3Ml5BMl5BanBnXkFtZTgwNDQ2ODE0NDM@._V1_SX300.jpg,61,39,46,12042,tt3721964,movie,5/06/2018,Amazon Studios and STX Entertainment,http://gringo.movie/
530,Gringo Trails,Gringo Trails,NA,NOT RATED,1/01/2014,79 min,"Documentary, Adventure, Drama",Pegi Vail,Pegi Vail,"Costas Christ, Yossi Ghinsberg, Pico Iyer, Holly Morris","Gringo Trails raises urgent questions about one of the most powerful global industries of our time: tourism. With stunning footage from Bolivia, Thailand, Mali, and Bhutan, the film follows...","English, Spanish","USA, Bhutan, Bolivia, Mali, Thailand",N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5MjMxNjAzMF5BMl5BanBnXkFtZTcwNTk1MDc1OQ@@._V1_SX300.jpg,78,67,NA,84,tt2458912,movie,16/11/2015,Icarus Films,http://gringotrails.com/
531,Growing Up Smith,Growing Up Smith,NA,PG-13,3/02/2017,102 min,"Comedy, Drama, Family",Frank Lotito,"Anjul Nigam, Paul Quinn, Gregory Scott Houghton, Anjul Nigam (screenplay)","Jason Lee, Anjul Nigam, Brighton Sharbino, Hilarie Burton","In 1979, an Indian family moves to America with hopes of living the American Dream. While their 10-year-old boy Smith falls head-over-heels for the girl next door, his desire to become a ""good old boy"" propels him further away from his family's ideals than ever before.",English,USA,5 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BOWI0MmZmN2MtMzczMy00Y2NlLWE2MzgtMWM0YTlmY2Y5MTczXkEyXkFqcGdeQXVyMDExMDMxOA@@._V1_SX300.jpg,68,70,NA,754,tt1105355,movie,13/06/2017,Good Deed Entertainment,http://www.growingupsmithmovie.com
532,Guardians of the Galaxy,Guardians of the Galaxy,NA,PG-13,1/08/2014,121 min,"Action, Adventure, Sci-Fi",James Gunn,"James Gunn, Nicole Perlman, Dan Abnett (based on the Marvel comics by), Andy Lanning (based on the Marvel comics by), Bill Mantlo (character created by: Rocket Raccoon), Keith Giffen (character created by: Rocket Raccoon), Jim Starlin (characters created by: Drax the Destroyer,  Gamora & Thanos), Steve Englehart (character created by: Star-Lord), Steve Gan (character created by: Star-Lord), Steve Gerber (character created by: Howard the Duck), Val Mayerik (character created by: Howard the Duck)","Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.,English,USA,Nominated for 2 Oscars. Another 52 wins & 99 nominations.,https://m.media-amazon.com/images/M/MV5BMTAwMjU5OTgxNjZeQTJeQWpwZ15BbWU4MDUxNDYxODEx._V1_SX300.jpg,81,91,76,862056,tt2015381,movie,9/12/2014,Walt Disney Pictures,http://marvel.com/guardians
533,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,NA,PG-13,5/05/2017,136 min,"Action, Adventure, Sci-Fi",James Gunn,"James Gunn, Dan Abnett (based on the Marvel comics by), Andy Lanning (based on the Marvel comics by), Steve Englehart (Star-Lord created by), Steve Gan (Star-Lord created by), Jim Starlin (Gamora and Drax created by), Stan Lee (Groot created by), Larry Lieber (Groot created by), Jack Kirby (Groot created by), Bill Mantlo (Rocket Raccoon created by), Keith Giffen (Rocket Raccoon created by), Steve Gerber (Howard the Duck created by), Val Mayerik (Howard the Duck created by)","Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage.,English,USA,Nominated for 1 Oscar. Another 12 wins & 42 nominations.,https://m.media-amazon.com/images/M/MV5BMTg2MzI1MTg3OF5BMl5BanBnXkFtZTgwNTU3NDA2MTI@._V1_SX300.jpg,77,83,67,397820,tt3896198,movie,22/08/2017,Walt Disney Pictures,https://marvel.com/guardians
534,Gueros,Güeros,NA,NOT RATED,20/03/2015,106 min,"Comedy, Drama",Alonso Ruizpalacios,"Alonso Ruizpalacios (screenplay), Gibrán Portela (screenplay), Alan Page (collaborator)","Tenoch Huerta, Sebastián Aguirre, Ilse Salas, Leonardo Ortizgris","Tomas is too much for his lone mother so she sends him to live with his older brother Federico, aka Sombra, in Mexico City.",Spanish,Mexico,21 wins & 12 nominations.,https://m.media-amazon.com/images/M/MV5BOThhMmNiZWItMTFiMS00OGYxLWFmNDktMTdiYWVmYmE2ZjA2XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,75,94,77,2633,tt3499048,movie,20/10/2015,Kino Lorber Films,http://www.kinolorber.com/film.php?id=2008
535,Gurukulam,Gurukulam,NA,N/A,NA,108 min,"Documentary, Drama","Neil Dalal, Jillian Elizabeth",N/A,Dayananda Saraswati,"In vivid and sensuous detail, 'Gurukulam' follows a group of students and their teacher as they confront fundamental questions about the nature of reality and self-identity at a secluded ...","English, Tamil, Sanskrit","Canada, USA",1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjU3Mzg0MDIwNl5BMl5BanBnXkFtZTgwMTcxNjg4ODE@._V1_SX300.jpg,74,43,NA,22,tt2183702,movie,NA,Matson Films,http://www.gurukulamfilm.com
536,Hacksaw Ridge,Hacksaw Ridge,NA,R,4/11/2016,139 min,"Biography, Drama, History",Mel Gibson,"Robert Schenkkan (screenplay by), Andrew Knight (screenplay by)","Andrew Garfield, Richard Pyros, Jacob Warner, Milo Gibson","WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.","English, Japanese","Australia, USA",Won 2 Oscars. Another 46 wins & 111 nominations.,https://m.media-amazon.com/images/M/MV5BMjQ1NjM3MTUxNV5BMl5BanBnXkFtZTgwMDc5MTY5OTE@._V1_SX300.jpg,82,86,71,327390,tt2119532,movie,21/02/2017,Summit Entertainment,http://www.hacksawridge.movie/
537,Haikara-San: Here Comes Miss Modern,Haikara-san: Here Comes Miss Modern Part 2,NA,N/A,19/10/2018,N/A,"Animation, Comedy, Drama",Toshiaki Kidokoro,"Waki Yamato (manga), Kazuhiro Furuhashi (screenplay)","Mamoru Miyano, Yûki Kaji, Takahiro Sakurai, Saori Hayami",N/A,Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BNDZlMTA3YmYtNjY4Zi00ZWE4LWJjYjktYmY1MzQ3MmJlMTczXkEyXkFqcGdeQXVyMzUzMzgxNA@@._V1_SX300.jpg,NA,NA,NA,NA,tt7058884,movie,NA,N/A,N/A
538,"Hail, Caesar!","Hail, Caesar!",NA,PG-13,5/02/2016,106 min,"Comedy, Mystery","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen","Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes",A Hollywood fixer in the 1950s works to keep the studio's stars in line.,English,"UK, Japan, USA",Nominated for 1 Oscar. Another 11 wins & 38 nominations.,https://m.media-amazon.com/images/M/MV5BOTI1M2FlMzItY2VjYS00Y2VkLWI5OTQtMzA0MWMyNmQzZmQ0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,63,85,72,103320,tt0475290,movie,7/06/2016,Universal Pictures,http://www.hailcaesarmovie.com/
539,Half of a Yellow Sun,Half of a Yellow Sun,NA,R,16/05/2014,111 min,"Drama, Romance",Biyi Bandele,"Chimamanda Ngozi Adichie (novel), Biyi Bandele (screenplay)","Thandie Newton, Chiwetel Ejiofor, Anika Noni Rose, Joseph Mawle","Sisters Olanna and Kainene return home to 1960s Nigeria, where they soon diverge on different paths. As civil war breaks out, political events loom larger than their differences as they join the fight to establish an independent republic.",English,"Nigeria, UK",3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5NTQ3NzAyMV5BMl5BanBnXkFtZTgwMTcxNjk5MDE@._V1_SX300.jpg,62,50,51,1459,tt2215077,movie,29/07/2014,Monterey Media,http://www.montereymedia.com/halfofayellowsun/
540,Hamari Adhuri Kahani,Hamari Adhuri Kahani,NA,NOT RATED,12/06/2015,129 min,"Drama, Romance",Mohit Suri,"Mahesh Bhatt, Shagufta Rafique (dialogue)","Rajkummar Rao, Emraan Hashmi, Vidya Balan, Amala Akkineni","A single mother finds solace with a wealthy, but lonely hotel magnate, together they find love until her past comes back to confront her.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BMTBmZWFhMDAtNzk2NC00MjM2LTk2ZTMtYzA3YzNiNjE2OWJmXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,67,NA,NA,4307,tt3483612,movie,NA,Fox International,http:// http://www.facebook.com/foxstarhindi
